original_size,cleaned_size,word_count,formula_count,section_count,figure_count,table_count,citation_count,filename
32631,20619,2774,39,5,0,0,18,Gorshenin-Korolev.tex
27821,16311,2170,43,6,3,1,9,gorshenin.tex
57886,12079,1699,225,0,3,0,0,gotsev.tex
36007,10522,1397,75,5,0,0,15,grebeshkov.tex
32153,22052,2777,12,3,1,0,1,gridin.tex
45849,26593,3528,31,7,4,0,3,grigoriev.tex
33831,20830,2976,43,4,2,1,4,grinchenko.tex
55899,9745,1574,333,0,3,0,16,gromov.tex
16878,1711,332,68,0,0,0,6,groshev.tex
35397,23967,3011,37,3,0,2,18,grush-7.tex
33863,22493,2957,139,5,0,0,0,grusho+zab.tex
27480,18150,2383,17,4,0,0,3,grusho-2-new.tex
27708,18139,2382,17,4,0,0,3,grusho-2.tex
30594,20226,2682,110,4,0,2,8,grusho-3.tex
21379,14207,1759,21,4,1,0,0,Grusho-Nikolaev.tex
25903,9196,1328,83,4,0,0,4,grusho-timonina.tex
24166,16379,2115,66,3,1,0,1,grusho-zab.tex
